Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
3,1,1,A,556.7999878,558.5010986,1.991999984,-49.59942245,0.700195313,557.5001831,-14.19903088,0,556.7999878,Not found,-24.79971123,0.194473699,Not found,0.849356472,1.131764293,-73.52941132,0.25,36.40776825,0.850097656,Not found,Not found,Not found,Not found,-62.19229126,25.57570267,39.09960938,N/A,N/A
3,1,1,A,641.2999878,642.8007813,1.991999984,-40.44414902,0.700195313,642.0001831,-9.316218376,0,641.2999878,Not found,-20.22207451,0.18089059,Not found,0.490082592,0.930475891,-73.52941132,0.25,30.3398056,0.350097656,Not found,Not found,Not found,Not found,-46.40716171,11.83431911,84.5,N/A,N/A
3,1,1,A,751.7999878,754.0010986,1.991999984,-45.93731308,1,752.7999878,-14.80938244,0,751.7999878,Not found,-22.96865654,0.219664022,Not found,0.84723866,1.170773625,-49.01960754,0.450195313,36.40776825,0.350097656,Not found,Not found,Not found,Not found,-73.98984528,9.025286674,110.7998047,N/A,N/A
3,1,1,A,820.2999878,822.3995972,1.991999984,-66.07891083,0.799804688,821.0997925,-16.03008652,0,820.2999878,1.536677003,-33.03945541,0.2988666,1.835543633,2.540297031,2.180273533,-103.1553421,0.350097656,42.89215851,0.850585938,Not found,Not found,Not found,Not found,-94.50193787,14.64133072,68.29980469,N/A,N/A
3,1,1,A,897.2999878,898.8995972,1.991999984,-48.37871933,0.600585938,897.9005737,-17.8611412,0,897.2999878,Not found,-24.18935966,0.111942679,Not found,0.520890355,1.215136647,-79.65686035,0.25,42.89215851,0.349609375,Not found,Not found,Not found,Not found,-56.27568436,13.02070045,76.80078125,N/A,N/A
3,1,1,A,1103.599487,1105.599609,1.991999984,-47.1580162,0.700195313,1104.299683,-20.91289902,0,1103.599487,Not found,-23.5790081,Not found,Not found,0.707202852,0.760202348,-54.61165237,0.250488281,30.63725471,0.650390625,Not found,Not found,Not found,Not found,-76.12528992,4.844982147,206.3991089,N/A,N/A
3,1,1,A,1373.700195,1375.199097,1.991999984,-46.54766464,0.599609375,1374.299805,-19.69219589,0,1373.700195,Not found,-23.27383232,Not found,Not found,0.545986235,0.749976099,-66.74757385,0.149902344,36.76470566,0.450195313,Not found,Not found,Not found,Not found,-54.90289307,3.703702211,270.0001221,N/A,N/A
3,1,1,A,1607.200195,1609.001099,1.991999984,-52.65118027,0.700195313,1607.900391,-19.08184433,0,1607.200195,Not found,-26.32559013,0.125836283,Not found,0.5398283,3.261783838,-79.65686035,0.25,30.63725471,0.149414063,Not found,Not found,Not found,Not found,-70.99106598,4.28081131,233.6005859,N/A,N/A
3,1,1,A,1642.800049,1645.199097,1.991999984,-33.11993027,0.400390625,1643.200439,-18.47149277,0,1642.800049,Not found,-16.55996513,Not found,Not found,0.256358176,0.927561641,-54.61165237,0.050292969,24.50980377,0.25,Not found,Not found,Not found,Not found,-70.00917053,28.32861519,35.29999542,N/A,N/A
3,1,1,A,1676.200195,1678.099609,1.991999984,-53.87188339,0.599609375,1676.799805,-11.14727306,0,1676.200195,1.614576101,-26.9359417,0.167933345,1.782509446,0.494198978,0.95823884,-98.03921509,0.25,36.76470566,0.950195313,Not found,Not found,Not found,Not found,-75.73299408,29.76241875,33.59941864,N/A,N/A
3,1,1,A,1875.099487,1877.899658,1.991999984,-30.67852402,0.700195313,1875.799683,-19.69219589,1.700195313,1876.799683,Not found,-15.33926201,Not found,Not found,0.463038892,0.511756063,-24.27184486,0.050292969,18.38235283,0.450195313,Not found,Not found,Not found,Not found,-73.13609314,5.025128365,198.9998932,N/A,N/A
3,1,1,A,1923.200195,1924.899658,1.991999984,-44.10625839,0.799804688,1924,-25.18535995,0,1923.200195,Not found,-22.0531292,Not found,Not found,1.333377361,2.367886305,-42.47572708,0.449707031,36.40776825,0.350097656,Not found,Not found,Not found,Not found,-57.87004471,20.7467556,48.20030975,N/A,N/A
